"measure_ID","measure_name","measure_shortName","indicator_ID","indicator_name","indicator_shortName","content_area_ID","content_area_name","content_area_shortName"
117,"Number of hospitalizations for CO poisoning","Number of hospitalizations for CO poisoning",NA,NA,"37",NA,NA,NA
118,"Crude rate of hospitalizations for CO poisoning per 100,000 population","Crude rate of hospitalizations for CO poisoning",NA,NA,"37",NA,NA,NA
119,"Age-adjusted rate of hospitalizations for CO poisoning per 100,000 population","Age-adjusted rate of hospitalizations for CO poisoning",NA,NA,"37",NA,NA,NA
120,"Number of emergency department visits for CO poisoning","Number of emergency department visits for CO poisoning",NA,NA,"38",NA,NA,NA
121,"Crude rate of emergency department visits for CO poisoning per 100,000 population","Crude rate of emergency department visits for CO poisoning",NA,NA,"38",NA,NA,NA
122,"Age-adjusted rate of emergency department visits for CO poisoning per 100,000 population","Age-adjusted rate of emergency department visits for CO poisoning",NA,NA,"38",NA,NA,NA
129,"Number of people receiving water from community water systems","Number of people served by CWS",NA,NA,"41",NA,NA,NA
221,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"18",NA,NA,NA
222,"Age-adjusted incidence rate of Brain and Other Nervous System Cancer per 100,000 population over a five year period ","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"47",NA,NA,NA
223,"Age-adjusted incidence rate of Leukemia per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"20",NA,NA,NA
224,"Age-adjusted incidence rate of Lung and Bronchus Cancer per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"23",NA,NA,NA
225,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"24",NA,NA,NA
226,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"25",NA,NA,NA
229,"Average annual number of cases of Bladder Cancer (including in situ) over a five year period","Average annual number of cases over a 5 year period",NA,NA,"18",NA,NA,NA
230,"Average annual number of cases of Brain and Other Nervous System Cancer over a five year period","Average annual number of cases over a 5 year period",NA,NA,"47",NA,NA,NA
231,"Average annual number of cases of Leukemia over a five year period","Average annual number of cases over a 5 year period",NA,NA,"20",NA,NA,NA
232,"Average annual number of cases of Lung and Bronchus Cancer over a five year period","Average annual number of cases over a 5 year period",NA,NA,"23",NA,NA,NA
233,"Average annual number of cases of Non-Hodgkin's Lymphoma over a five year period","Average annual number of cases over a 5 year period",NA,NA,"24",NA,NA,NA
234,"Average annual number of cases of Thyroid Cancer over a five year period","Average annual number of cases over a 5 year period",NA,NA,"25",NA,NA,NA
237,"Average annual number of cases of Anencephaly among live births over five year period","Average annual number of cases over a 5 year period",NA,NA,"1",NA,NA,NA
238,"Prevalence of Anencephaly per 10,000 live births over a five year period","Prevalence per 10,000 live births over five year period",NA,NA,"1",NA,NA,NA
239,"Average annual number of cases of Spina Bifida w/out Anencephaly among live births over a five year period","Average annual number of cases over a 5 year period",NA,NA,"2",NA,NA,NA
240,"Prevalence of Spina Bifida (without Anencephaly) per 10,000 live births over a five year period","Prevalence per 10,000 live births over five year period",NA,NA,"2",NA,NA,NA
241,"Average annual number of cases of Hypoplastic Left Heart Syndrome among live births over a five year period","Average annual number of cases over a 5 year period",NA,NA,"3",NA,NA,NA
242,"Prevalence of Hypoplastic Left Heart Syndrome per 10,000 live births over a five year period","Prevalence per 10,000 live births over five year period",NA,NA,"3",NA,NA,NA
243,"Average annual number of cases of Tetralogy of Fallot among live births over a five year period","Average annual number of cases over a 5 year period",NA,NA,"4",NA,NA,NA
244,"Prevalence of Tetralogy of Fallot per 10,000 live births over a five year period","Prevalence per 10,000 live births over five year period",NA,NA,"4",NA,NA,NA
245,"Average annual number of cases of Transposition of the Great Arteries (Vessels) among live births over a five year period","Average annual number of cases over a 5 year period",NA,NA,"5",NA,NA,NA
246,"Prevalence of Transposition of the Great Arteries (vessels) per 10,000 live births over a five year period","Prevalence per 10,000 live births over five year period",NA,NA,"5",NA,NA,NA
249,"Average annual number of cases of Cleft Palate without Cleft Lip among live births over a five year period","Average annual number of cases over a 5 year period",NA,NA,"7",NA,NA,NA
250,"Prevalence of Cleft Palate without Cleft Lip per 10,000 live births over a five year period","Prevalence per 10,000 live births over five year period",NA,NA,"7",NA,NA,NA
251,"Average annual number of cases of Hypospadias among live male births over a five year period","Average annual number of cases over a 5 year period",NA,NA,"8",NA,NA,NA
252,"Prevalence of Hypospadias per 10,000 live male births over a five year period","Prevalence per 10,000 live births over five year period",NA,NA,"8",NA,NA,NA
253,"Average annual number of cases of Gastroschisis among live births over a five year period","Average annual number of cases over a 5 year period",NA,NA,"9",NA,NA,NA
254,"Prevalence of Gastroschisis per 10,000 live births over a five year period","Prevalence per 10,000 live births over five year period",NA,NA,"9",NA,NA,NA
259,"Average annual number of cases of Trisomy 21 to mothers less than 35 years of age at delivery over a five year period","Average annual number of cases among births to mothers <35 years over a 5 year period",NA,NA,"12",NA,NA,NA
260,"Prevalence of Trisomy 21 per 10,000 live births to mothers less than 35 years of age at delivery over a five year period","Prevalence per 10,000 live births to mothers <35 years over five year period",NA,NA,"12",NA,NA,NA
261,"Average annual number of cases of Trisomy 21 to mothers greater than or equal to 35 years of age at delivery over a five year period","Average annual number of cases among births to mothers >/=35 years over a 5 year period",NA,NA,"12",NA,NA,NA
262,"Prevalence of Trisomy 21 per 10,000 live births to mothers greater than or equal to 35 years of age at delivery over a five year period","Prevalence per 10,000 live births to mothers >/=35 years over five year period",NA,NA,"12",NA,NA,NA
274,"Average annual number of very preterm (<32 weeks gestation) live singleton births over 5 years","5 year average very preterm births",NA,NA,"13",NA,NA,NA
275,"Average annual percent of very preterm (<32 weeks gestation) live singleton births over 5 years","5 year average % very preterm births",NA,NA,"13",NA,NA,NA
276,"Average annual number of very low birthweight (<1,500 grams) live singleton births over 5 years","5 year average very low birthweight births/year",NA,NA,"14",NA,NA,NA
277,"Average annual percent of very low birthweight (<1,500 grams) live singleton births over 5 years","5 year average % very low birthweight births/year",NA,NA,"14",NA,NA,NA
278,"Average annual number of Infant (<1 year of age) deaths over 5 years","5 year average infant deaths/year",NA,NA,"15",NA,NA,NA
279,"Average annual infant (<1 year of age) mortality rate per 1,000 live births over 5 years","5 year average infant mortality rate/year",NA,NA,"15",NA,NA,NA
280,"Average annual neonatal (<28 days of age) deaths over 5 years","5 year average neonatal deaths",NA,NA,"15",NA,NA,NA
281,"Average annual neonatal (<28 days of age) mortality rate per 1,000 live births over 5 years","5 year average neonatal mortality rate",NA,NA,"15",NA,NA,NA
284,"Average annual number of postneonatal (>= 28 days to <1 year of age) deaths over 5 years","5 year average postneonatal deaths",NA,NA,"15",NA,NA,NA
285,"Average annual postneonatal (>= 28 days to <1 year of age) mortality rate per 1,000 live births over 5 years","5 year average postneonatal mortality rate",NA,NA,"15",NA,NA,NA
286,"Annual number of cases of Breast Cancer","Annual number of cases",NA,NA,"19",NA,NA,NA
287,"Age-adjusted incidence rate of Breast Cancer per 100,000 population ","Age-adjusted rate per 100,000 population",NA,NA,"19",NA,NA,NA
290,"Average annual number of cases of Breast Cancer over a five year period","Average annual number of cases over a 5 year period",NA,NA,"19",NA,NA,NA
291,"Age-adjusted incidence rate of Breast Cancer per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"19",NA,NA,NA
292,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Number of days with maximum 8-hour average ozone concentration over the NAAQS",NA,NA,"49",NA,NA,NA
293,"Number of person-days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard (monitor and modeled data)","Number of person-days with max 8-hour average ozone concentration over the NAAQS",NA,NA,"49",NA,NA,NA
294,"Percent of days with PM2.5 levels over the National Ambient Air Quality Standard (monitor and modeled data)","Percent of days with PM2.5 levels over the NAAQS",NA,NA,"50",NA,NA,NA
295,"Number of person-days with PM2.5 over the National Ambient Air Quality Standard (monitor and modeled data)","Number of person-days with PM2.5 over the NAAQS",NA,NA,"50",NA,NA,NA
296,"Annual average ambient concentrations of PM 2.5 in micrograms per cubic meter, based on seasonal averages and daily measurement (monitor and modeled data)","Annual average ambient concentrations of PM 2.5 in micrograms per cubic meter",NA,NA,"51",NA,NA,NA
324,"Number of people by demographic group","Number of people by demographic group",NA,NA,"52",NA,NA,NA
326,"Number of people living in poverty","Number of people living in poverty",NA,NA,"103",NA,NA,NA
326,"Number of people living in poverty","Number of people living in poverty",NA,NA,"53",NA,NA,NA
327,"Percent of population living in poverty","Percent of population living in poverty",NA,NA,"103",NA,NA,NA
327,"Percent of population living in poverty","Percent of population living in poverty",NA,NA,"53",NA,NA,NA
328,"Median Household Income","Median Household Income",NA,NA,"103",NA,NA,NA
328,"Median Household Income","Median Household Income",NA,NA,"53",NA,NA,NA
329,"Number of people without health insurance","Number of people without health insurance",NA,NA,"103",NA,NA,NA
329,"Number of people without health insurance","Number of people without health insurance",NA,NA,"109",NA,NA,NA
330,"Percent of population without health insurance","Percent of population without health insurance",NA,NA,"103",NA,NA,NA
330,"Percent of population without health insurance","Percent of population without health insurance",NA,NA,"109",NA,NA,NA
331,"Number of people aged 25 years and over with high school diploma (or equivalent) or higher","Number of people aged 25 years and over with high school diploma (or equivalent) or higher",NA,NA,"53",NA,NA,NA
332,"Percent of population aged 25 years and over with high school diploma (or equivalent) or higher","Percent of population aged 25 years and over with high school diploma (or equivalent) or higher",NA,NA,"53",NA,NA,NA
333,"Percent of adults ever diagnosed with asthma (2010 and earlier)","Percent of adults with diagnosed asthma (2010 and earlier)",NA,NA,"54",NA,NA,NA
334,"Percent of adults ever diagnosed with asthma who report they currently have asthma (2010 and earlier)","Percent of adults with current asthma (2010 and earlier)",NA,NA,"54",NA,NA,NA
335,"Percent of children ever diagnosed with asthma (2010 and earlier)","Percent of children with diagnosed asthma (2010 and earlier)",NA,NA,"55",NA,NA,NA
336,"Percent of children ever diagnosed with asthma and currently have asthma (2010 and earlier)","Percent of children with current asthma (2010 and earlier)",NA,NA,"55",NA,NA,NA
337,"Percent of adults with active asthma diagnosed within the past 5 years (2010 and earlier)","Percent of adults with active asthma diagnosed within the past 5 years (2010 and earlier)",NA,NA,"54",NA,NA,NA
338,"Percent of adults with active asthma with an attack in the past year (2010 and earlier)","Percent of adults with active asthma with an attack in the past year (2010 and earlier)",NA,NA,"54",NA,NA,NA
339,"Percent of adults with active asthma with one or more routine doctor’s visit in the past year (2010 and earlier)","Percent of adults with active asthma with one or more routine doctor’s visit in the past year (2010 and earlier)",NA,NA,"54",NA,NA,NA
344,"Number of workers over 16 years that used public transportation (excluding taxicabs)","Number of workers that used public transportation (excluding taxicabs)",NA,NA,"56",NA,NA,NA
345,"Percent of workers over 16 years that used public transportation (excluding taxicabs)","Percent of workers that used public transportation (excluding taxicabs)",NA,NA,"56",NA,NA,NA
356,"Number of workers over 16 years","Number of workers over 16 years",NA,NA,"56",NA,NA,NA
357,"Daily Estimates of Maximum Temperature for Summer Months (May-Sep)","Daily Estimates of Maximum Temperature",NA,NA,"65",NA,NA,NA
358,"Daily Estimates of Maximum Heat Index for Summer Months (May-Sep)","Daily Estimates of Maximum Heat Index",NA,NA,"65",NA,NA,NA
360,"Age-adjusted estimates of the percent of adults >= 20 years diagnosed with diabetes","Percent of population aged 20 years and over diagnosed with diabetes",NA,NA,"103",NA,NA,NA
360,"Age-adjusted estimates of the percent of adults >= 20 years diagnosed with diabetes","Percent of population aged 20 years and over diagnosed with diabetes",NA,NA,"109",NA,NA,NA
361,"Rate of hospitalization for heart disease among Medicare beneficiaries >= 65 years","Rate of hospitalization for heart disease among Medicare beneficiaries >= 65 years",NA,NA,"103",NA,NA,NA
363,"Percent of population of a race other than white","Percent of population of a race other than white",NA,NA,"103",NA,NA,NA
364,"Percent of population aged 65 years and over living alone in a non-family household ","Percent of population aged 65 years and over living alone",NA,NA,"103",NA,NA,NA
364,"Percent of population aged 65 years and over living alone in a non-family household ","Percent of population aged 65 years and over living alone",NA,NA,"52",NA,NA,NA
367,"Percent of land covered by forest","Percent of land covered by forest",NA,NA,"103",NA,NA,NA
367,"Percent of land covered by forest","Percent of land covered by forest",NA,NA,"134",NA,NA,NA
368,"Percent of land used for development","Percent of land used for development",NA,NA,"103",NA,NA,NA
368,"Percent of land used for development","Percent of land used for development",NA,NA,"111",NA,NA,NA
369,"Percent of land used for agriculture","Percent of land used for agriculture",NA,NA,"111",NA,NA,NA
370,"Number of summertime (May-Sep) heat-related deaths, by year","Number of summertime (May-Sep) heat-related deaths, by year",NA,NA,"67",NA,NA,NA
373,"Estimated prevalence of autism spectrum disorders (ASDs) per 1000 children 8 years old","Estimated prevalence of autism per 1000 children 8 years old",NA,NA,"68",NA,NA,NA
374,"Number of children ages 3 to 17 receiving early intervention, special education, or related services for a developmental disability ","Number of children ages 3 to 17 receiving services for a developmental disability ",NA,NA,"69",NA,NA,NA
375,"Percent of children ages 3 to 17 receiving early intervention, special education, or related services for a developmental disability ","Percent of children ages 3 to 17 receiving services for a developmental disability ",NA,NA,"69",NA,NA,NA
376,"Number of children ages 3 to 5 receiving early intervention, special education, or related services for a developmental disability ","Number of children ages 3 to 5 receiving services for a developmental disability ",NA,NA,"69",NA,NA,NA
377,"Percent of children ages 3 to 5 receiving early intervention, special education, or related services for a developmental disability ","Percent of children ages 3 to 5 receiving services for a developmental disability ",NA,NA,"69",NA,NA,NA
378,"Number of children ages 6 to 11 receiving early intervention, special education, or related services for a developmental disability ","Number of children ages 6 to 11 receiving services for a developmental disability ",NA,NA,"69",NA,NA,NA
379,"Percent of children ages 6 to 11 receiving early intervention, special education, or related services for a developmental disability ","Percent of children ages 6 to 11 receiving services for a developmental disability ",NA,NA,"69",NA,NA,NA
380,"Number of children ages 12 to 17 receiving early intervention, special education, or related services for a developmental disability ","Number of children ages 12 to 17 receiving services for a developmental disability ",NA,NA,"69",NA,NA,NA
381,"Percent of children ages 12 to 17 receiving early intervention, special education, or related services for a developmental disability ","Percent of children ages 12 to 17 receiving services for a developmental disability ",NA,NA,"69",NA,NA,NA
382,"Average annual number of cases of Mesothelioma over a five year period","Average annual number of cases over a 5 year period",NA,NA,"71",NA,NA,NA
383,"Age-adjusted incidence rate of Mesothelioma per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"71",NA,NA,NA
384,"Annual number of cases of Melonoma of the Skin","Annual number of cases",NA,NA,"72",NA,NA,NA
385,"Average annual number of cases of Melanoma of the Skin over a five year period","Average annual number of cases over a 5 year period",NA,NA,"72",NA,NA,NA
386,"Age-Adjusted incidence rate of Melanoma of the Skin per 100,000 population","Age-adjusted rate per 100,000 population",NA,NA,"72",NA,NA,NA
387,"Age-adjusted incidence rate of Melanoma of the Skin per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"72",NA,NA,NA
388,"Annual number of cases of Kidney and Renal Pelvis Cancer","Annual number of cases",NA,NA,"73",NA,NA,NA
389,"Average annual number of cases of Kidney and Renal Pelvis Cancer over a five year period","Average annual number of cases over a 5 year period",NA,NA,"73",NA,NA,NA
390,"Age-Adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population","Age-adjusted rate per 100,000 population",NA,NA,"73",NA,NA,NA
391,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"73",NA,NA,NA
392,"Annual number of cases of Liver and Intrahepatic Bile Duct Cancer","Annual number of cases",NA,NA,"74",NA,NA,NA
393,"Average annual number of cases of Liver and Intrahepatic Bile Duct Cancer over a five year period","Average annual number of cases over a 5 year period",NA,NA,"74",NA,NA,NA
394,"Age-Adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population","Age-adjusted rate per 100,000 population",NA,NA,"74",NA,NA,NA
395,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"74",NA,NA,NA
396,"Estimated number of  all-cause deaths avoided","Estimated number of  all-cause deaths avoided",NA,NA,"75",NA,NA,NA
397,"Estimated percent change in all-cause death rate from baseline","Estimated percent change in all-cause death rate from baseline",NA,NA,"75",NA,NA,NA
398,"Ranked groupings of counties based on percent change in all-cause death rate from baseline","Ranked groupings of counties based on percent change in all-cause death rate from baseline",NA,NA,"75",NA,NA,NA
413,"Number of children tested","Number of children tested",NA,NA,"77",NA,NA,NA
414,"Percent of children tested","Percent of children tested",NA,NA,"77",NA,NA,NA
415,"Number of children tested with confirmed  blood lead levels of 10 µg/dL or greater","Number of children tested with confirmed  blood lead levels of 10 µg/dL or greater",NA,NA,"77",NA,NA,NA
416,"Percent of children tested with confirmed blood lead levels of 10 µg/dL or greater","Percent of children tested with confirmed blood lead levels of 10 µg/dL or greater",NA,NA,"77",NA,NA,NA
418,"Percent of adults who ever smoked (2000-2010)","Percent of adults who ever smoked (2000-2010)",NA,NA,"78",NA,NA,NA
420,"Percent of current adult smokers(2000-2010)","Percent of current adult smokers(2000-2010)",NA,NA,"78",NA,NA,NA
422,"Percent of former adult smokers(2000-2010)","Percent of former adult smokers(2000-2010)",NA,NA,"78",NA,NA,NA
423,"Number of extreme heat days","Number of extreme heat days",NA,NA,"105",NA,NA,NA
423,"Number of extreme heat days","Number of extreme heat days",NA,NA,"79",NA,NA,NA
424,"Dates of extreme heat days","Dates of extreme heat days",NA,NA,"79",NA,NA,NA
425,"Number of extreme heat events","Number of extreme heat events",NA,NA,"105",NA,NA,NA
425,"Number of extreme heat events","Number of extreme heat events",NA,NA,"79",NA,NA,NA
426,"Dates of extreme heat events","Dates of extreme heat events",NA,NA,"79",NA,NA,NA
427,"Number of people living within a half mile of a park","Number of population living within half a mile of a park",NA,NA,"80",NA,NA,NA
428,"Percent of population living within a half mile of a park","Percentage of population living within half a mile of a park",NA,NA,"80",NA,NA,NA
431,"Number of hospitalizations for heat stress","Number of hospitalizations for heat stress",NA,NA,"88",NA,NA,NA
432,"Crude rate of hospitalizations for heat stress per 100,000 population","Crude rate of hospitalizations for heat stress",NA,NA,"88",NA,NA,NA
433,"Age-adjusted rate of hospitalizations for heat stress per 100,000 population","Age-adjusted rate of hospitalizations for heat stress",NA,NA,"88",NA,NA,NA
434,"Number of emergency department visits for asthma","Number of emergency department visits for asthma",NA,NA,"90",NA,NA,NA
436,"Crude rate of emergency department visits for asthma per 10,000 population","Crude rate of emergency department visits for asthma",NA,NA,"90",NA,NA,NA
437,"Age-adjusted rate of emergency department visits for asthma per 10,000 population","Age-adjusted rate of emergency department visits for asthma",NA,NA,"90",NA,NA,NA
438,"Number of emergency department visits for heat stress","Number of emergency department visits for heat stress",NA,NA,"89",NA,NA,NA
439,"Crude rate of emergency department visits for heat stress per 100,000 population","Crude rate of emergency department visits for heat stress",NA,NA,"89",NA,NA,NA
440,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population","Age-adjusted rate of emergency department visits for heat stress",NA,NA,"89",NA,NA,NA
477,"Annual average cancer risk estimates per million","Annual average cancer risk estimates per million",NA,NA,"81",NA,NA,NA
